Account_ID,Customer_Name,Age,Gender,City,State,Account_Type,Balance,Branch_ID,IFSC_Code,Transaction_ID,Transaction_Type,Transaction_Amount,Transaction_Date,Loan_Status,Loan_Amount,Credit_Score,Debit_Card,Net_Banking,Mobile_Banking,Last_Login,KYC_Status,PAN_Number,Aadhar_Number,Email,Phone_Number,Nominee_Name,Account_Open_Date,Interest_Rate,Overdraft_Limit,Account_Status
ACC100010,Kavya Jain,52,Female,Pune,MP,Savings,431851.81,BR436,IFSC41186,TXN2921430,Debit,19618.48,2019-10-05,Pending,195845.9,438,No,No,Yes,2023-03-26,Pending,U03GSWFLJ0,530611520367,W1SO1T@bankmail.com,9046127854,Arjun Patel,2022-02-26,4.9,181622.07,Active
ACC100011,Arjun Jain,69,Female,Pune,MP,Savings,655480.52,BR283,IFSC97222,TXN3634358,Debit,28305.77,2023-08-29,Pending,331453.79,836,Yes,No,No,2021-01-17,Verified,EMERKE3LS1,597629176487,576X4H@bankmail.com,6803948227,Rohit Jain,2026-02-25,7.24,39558.52,Active
ACC100012,Arjun Jain,54,Female,Mumbai,RJ,Savings,868863.13,BR425,IFSC90361,TXN9007776,Credit,40271.35,2025-09-17,Active,54415.25,761,No,Yes,No,2020-03-07,Verified,KZDSPO63B1,516449060685,4E5VXG@bankmail.com,6052282017,Priya Sharma,2019-06-25,2.67,48889.28,Active
ACC100013,Neha Patel,58,Male,Indore,MH,Current,543216.05,BR133,IFSC97739,TXN6194252,Debit,4933.75,2023-12-07,Active,447049.92,888,Yes,No,No,2021-12-01,Pending,BB4363BMG8,777768817113,S7GY3Y@bankmail.com,9297499503,Kavya Gupta,2019-01-30,5.18,70593.59,Inactive
ACC100014,Anjali Jain,74,Female,Delhi,MP,Current,129238.78,BR469,IFSC85207,TXN9427212,Credit,29201.53,2021-11-17,Active,332522.41,579,Yes,No,No,2019-09-23,Pending,2H9194RXR3,838471544741,1GV8KX@bankmail.com,7320095089,Arjun Patel,2022-11-16,6.18,30534.94,Inactive
ACC100015,Anjali Kumar,25,Male,Bhopal,DL,Current,38120.31,BR356,IFSC13989,TXN5475895,Debit,11439.46,2024-11-06,Active,350000.81,492,Yes,Yes,No,2019-03-29,Pending,IWQT3PLE3Q,419670727864,HG34J9@bankmail.com,7585424975,Neha Kumar,2022-08-03,4.61,196902.53,Inactive
ACC100016,Priya Patel,49,Male,Mumbai,MH,Current,74649.96,BR350,IFSC56662,TXN8538498,Credit,43915.49,2021-12-08,Active,317745.55,830,No,Yes,No,2018-02-05,Pending,TOF5T9E6SG,887285963611,V1OWSA@bankmail.com,9824165344,Sneha Patel,2025-11-10,4.15,15051.45,Active
ACC100017,Rohit Gupta,46,Female,Bhopal,DL,Current,395493.57,BR618,IFSC55385,TXN7248487,Debit,5438.1,2025-01-02,Pending,288542.84,307,No,Yes,Yes,2019-04-20,Verified,OSWCT3SXQ8,188120962233,EH4732@bankmail.com,8557672431,Priya Jain,2021-11-23,6.66,85435.16,Inactive
ACC100018,Amit Kumar,27,Female,Pune,MH,Savings,357410.61,BR964,IFSC96368,TXN1919564,Debit,12608.24,2022-05-24,Active,259198.23,421,No,Yes,No,2022-08-12,Pending,IQL0TDLGHA,842564443001,H153V0@bankmail.com,7691591188,Kavya Gupta,2022-12-31,2.14,111433.44,Active
ACC100019,Rahul Gupta,34,Male,Delhi,MP,Current,843539.71,BR683,IFSC41476,TXN9356238,Debit,43359.52,2021-01-23,Pending,130249.05,779,No,Yes,Yes,2025-05-23,Verified,8B5Q19C08B,457337966012,KVSMC9@bankmail.com,9318160777,Amit Sharma,2025-10-18,4.66,174956.77,Active
ACC100020,Amit Jain,38,Male,Delhi,MH,Current,249599.02,BR195,IFSC77005,TXN3067319,Credit,49786.88,2022-09-22,Closed,461419.06,803,Yes,No,No,2024-03-15,Verified,G4OC1I718U,130871254194,JK2Z2R@bankmail.com,6906376908,Priya Singh,2022-05-16,4.94,148620.62,Active
ACC100021,Priya Singh,72,Female,Indore,UP,Current,464808.8,BR812,IFSC97399,TXN7012073,Credit,39469.39,2020-02-13,Active,132206.72,354,Yes,No,Yes,2019-06-13,Pending,8DRJW8T6C2,695635528877,EE232Q@bankmail.com,9463052961,Rohit Jain,2022-11-25,7.31,152684.04,Inactive
ACC100022,Sneha Jain,41,Female,Lucknow,MP,Savings,963980.81,BR991,IFSC70730,TXN2302251,Debit,16525.28,2019-08-05,Pending,471015.88,560,No,No,Yes,2023-05-18,Verified,KD1R23XD6K,520971196922,M0WTIC@bankmail.com,6334129369,Kavya Gupta,2018-10-22,8.51,136937.14,Inactive
ACC100023,Arjun Sharma,57,Male,Pune,MP,Current,745921.0,BR157,IFSC21467,TXN2560478,Credit,24234.65,2020-09-18,Closed,232128.57,788,Yes,No,Yes,2018-05-08,Pending,5KAWEQ7HIK,194908969765,DYSZ6M@bankmail.com,8198911693,Rahul Patel,2018-04-11,8.99,138434.54,Active
ACC100024,Amit Patel,25,Male,Lucknow,DL,Current,655504.52,BR366,IFSC19493,TXN8166249,Credit,47422.07,2022-08-10,Active,391557.37,716,No,Yes,Yes,2024-07-04,Pending,YK2JSU4A4W,782074880635,MDM01M@bankmail.com,9986765622,Amit Kumar,2024-05-01,7.1,199984.19,Inactive
ACC100025,Rohit Verma,47,Male,Bhopal,RJ,Current,847565.88,BR352,IFSC90953,TXN9626666,Debit,27719.79,2023-04-28,Active,277889.39,328,Yes,Yes,Yes,2020-06-08,Pending,3ST8OV2XT5,657458461656,ZYN8OS@bankmail.com,8740707848,Priya Gupta,2024-12-26,6.22,98289.25,Inactive
ACC100026,Anjali Jain,52,Male,Delhi,MH,Current,14480.01,BR296,IFSC93283,TXN7384258,Credit,28312.61,2018-03-27,Closed,133205.79,336,No,No,No,2020-08-23,Verified,KQJR6OTLDC,524327244501,GXL5UA@bankmail.com,8252336293,Neha Verma,2021-06-18,7.07,123635.31,Active
ACC100027,Amit Sharma,69,Female,Jaipur,MH,Savings,397867.33,BR612,IFSC57363,TXN2945487,Debit,34397.54,2020-07-02,Active,215628.28,873,Yes,No,Yes,2025-07-19,Verified,H3OFAIWIPF,396900989216,OJDWWU@bankmail.com,8648995235,Anjali Singh,2024-10-08,6.58,181531.3,Inactive
ACC100028,Arjun Singh,57,Female,Mumbai,UP,Savings,444907.2,BR639,IFSC29242,TXN3569943,Debit,273.35,2024-06-29,Active,377876.52,777,Yes,Yes,Yes,2020-02-15,Pending,6HTDINPL7G,654968191857,VF7E65@bankmail.com,8634098923,Priya Gupta,2019-08-11,8.72,48367.59,Active
ACC100029,Priya Kumar,61,Female,Indore,RJ,Savings,348235.85,BR707,IFSC17171,TXN7493435,Credit,12223.16,2021-12-19,Active,306167.68,868,No,Yes,Yes,2018-12-15,Verified,1M6B77GV89,403463558294,C84HWS@bankmail.com,9212606939,Priya Singh,2025-08-27,4.67,84750.18,Inactive
ACC100030,Rahul Gupta,33,Male,Bhopal,DL,Current,705167.44,BR999,IFSC75329,TXN6978422,Debit,22000.13,2023-01-02,Closed,20343.9,721,No,No,No,2025-09-04,Pending,G95E73G7PZ,515228829276,8TAT2L@bankmail.com,8685182221,Kavya Sharma,2021-08-13,8.72,157202.26,Active
ACC100031,Vikas Verma,54,Female,Pune,MP,Current,673755.29,BR930,IFSC82189,TXN4319196,Credit,3768.67,2018-11-21,Active,478637.29,466,Yes,Yes,No,2025-07-22,Pending,EPGHALKJIN,101440103703,3Q1252@bankmail.com,8995995549,Amit Sharma,2021-04-29,5.41,141068.64,Active
ACC100032,Arjun Patel,37,Female,Bhopal,MH,Savings,353026.32,BR312,IFSC57378,TXN5841143,Debit,784.12,2023-09-16,Pending,449908.89,626,Yes,No,Yes,2023-06-09,Pending,78GMCBU1SB,516116225378,I9L1OQ@bankmail.com,9360256673,Neha Singh,2025-06-04,7.67,82960.69,Inactive
ACC100033,Rohit Sharma,49,Female,Jaipur,MH,Current,341960.41,BR556,IFSC50482,TXN2578207,Credit,6074.75,2019-07-30,Pending,75918.11,364,Yes,Yes,Yes,2025-07-28,Verified,2Y0I49GC7Y,674917282939,UNQG8K@bankmail.com,7953827355,Vikas Singh,2023-03-15,7.14,77256.57,Active
ACC100034,Kavya Patel,60,Female,Jaipur,UP,Current,322647.42,BR761,IFSC69904,TXN4882387,Credit,41585.61,2023-01-18,Closed,161448.18,322,No,Yes,No,2021-06-17,Pending,RSZ0E20T2O,477380526067,4EQPBX@bankmail.com,6729740820,Amit Verma,2018-04-04,6.67,104558.52,Inactive
ACC100035,Amit Singh,49,Female,Pune,RJ,Current,989934.66,BR533,IFSC35127,TXN9657376,Debit,47068.15,2018-09-06,Active,354564.27,647,No,No,Yes,2019-08-15,Pending,J0NPAWTWC7,702149139186,PXJU4N@bankmail.com,7089457861,Neha Patel,2020-08-24,7.87,28075.59,Inactive
ACC100036,Rohit Patel,18,Female,Jaipur,RJ,Savings,230312.98,BR676,IFSC54801,TXN2389521,Debit,34947.09,2020-10-19,Closed,269956.63,784,No,Yes,No,2023-04-06,Pending,SFM1ARJUE1,708643986952,YVKTZN@bankmail.com,6785885990,Neha Jain,2020-12-24,4.51,147702.56,Inactive
ACC100037,Rahul Verma,74,Female,Lucknow,RJ,Current,229418.07,BR366,IFSC40061,TXN6662207,Credit,35830.03,2024-05-12,Active,239024.38,785,Yes,No,No,2018-08-25,Verified,CJ2IDOYQ2C,116549987778,OURIEU@bankmail.com,6622090712,Rohit Jain,2024-02-11,5.49,90068.6,Inactive
ACC100038,Kavya Jain,26,Male,Delhi,DL,Current,149467.22,BR567,IFSC77738,TXN7700909,Debit,15403.08,2024-04-29,Closed,83226.74,740,Yes,No,No,2019-06-08,Pending,X9M01H9Z7Z,757977701331,WBS9MK@bankmail.com,6356415984,Amit Jain,2020-02-15,6.43,144556.37,Inactive
ACC100039,Vikas Singh,47,Female,Mumbai,MP,Savings,682063.26,BR828,IFSC80312,TXN6337865,Credit,24979.38,2025-07-06,Pending,268200.54,616,No,No,No,2020-07-30,Pending,G54ZOMHWVI,757209119619,G18DXL@bankmail.com,6503251987,Kavya Gupta,2022-10-12,6.01,61311.01,Active
ACC100040,Sneha Jain,75,Male,Delhi,DL,Current,25740.03,BR150,IFSC74471,TXN7247827,Credit,4782.68,2018-04-17,Pending,118130.35,316,Yes,No,Yes,2023-06-26,Pending,EU2FPZNW7Z,330915637494,1BX43H@bankmail.com,6246201307,Anjali Gupta,2018-10-08,2.94,177484.34,Inactive
ACC100041,Priya Patel,37,Male,Lucknow,RJ,Current,459764.21,BR140,IFSC90626,TXN9866815,Debit,16524.86,2023-02-16,Active,31379.01,833,No,No,No,2019-11-02,Pending,QJQNLTE92F,668313552811,3D8GO5@bankmail.com,9131783396,Kavya Gupta,2024-07-13,8.63,18412.62,Active
ACC100042,Anjali Gupta,54,Male,Bhopal,RJ,Savings,220282.87,BR728,IFSC19055,TXN8474973,Debit,42551.98,2025-12-22,Pending,113480.53,788,No,Yes,Yes,2023-04-20,Pending,4HWHZ7QOFD,484990093987,I6VCHW@bankmail.com,9987086610,Arjun Sharma,2018-12-30,6.78,119328.78,Inactive
ACC100043,Arjun Jain,63,Male,Jaipur,DL,Savings,166107.61,BR775,IFSC84172,TXN3144149,Debit,42910.57,2021-10-14,Pending,291209.44,305,No,No,No,2025-07-09,Pending,NERMUWT7G2,643172620994,EZOO5N@bankmail.com,6583086923,Vikas Singh,2024-01-09,6.67,16306.87,Inactive
ACC100044,Rahul Singh,71,Female,Bhopal,DL,Current,817546.48,BR844,IFSC34863,TXN9869502,Credit,19241.8,2018-05-30,Active,1980.95,382,Yes,Yes,No,2020-01-12,Verified,YET5C5NL9D,134148864023,TTHHB6@bankmail.com,6026676189,Kavya Patel,2018-06-23,2.03,103492.01,Inactive
ACC100045,Anjali Kumar,53,Male,Bhopal,MP,Current,813762.32,BR185,IFSC12059,TXN7614880,Credit,34942.54,2025-10-24,Active,247267.15,895,No,No,No,2026-01-16,Pending,P8G16CPZNF,906278640097,5NBJDP@bankmail.com,6812117806,Rohit Gupta,2019-11-29,8.26,192225.11,Active
ACC100046,Arjun Sharma,33,Male,Lucknow,UP,Savings,949711.73,BR192,IFSC86015,TXN3319139,Debit,38548.26,2019-01-15,Closed,109202.67,399,Yes,Yes,No,2019-03-10,Verified,YS5KULUN8O,727140132148,9QOYVO@bankmail.com,7131936951,Anjali Kumar,2025-01-31,3.84,117009.34,Inactive
ACC100047,Kavya Kumar,28,Male,Pune,DL,Current,195792.88,BR203,IFSC40398,TXN2706821,Debit,5698.51,2023-01-10,Active,473199.6,830,Yes,Yes,No,2019-05-02,Verified,TYLLZOV6S5,424285156478,YJ05UN@bankmail.com,8705847010,Sneha Kumar,2021-04-10,5.84,63374.74,Inactive
ACC100048,Neha Patel,27,Female,Delhi,MH,Savings,954170.62,BR779,IFSC31316,TXN8054508,Debit,40297.64,2026-02-07,Active,423935.4,898,No,No,Yes,2019-06-07,Pending,GADZDARDSP,533629715644,88CTJJ@bankmail.com,6572326834,Kavya Verma,2025-01-10,5.17,156177.01,Inactive
ACC100049,Rahul Singh,73,Female,Bhopal,UP,Savings,521613.86,BR611,IFSC17946,TXN4194238,Credit,6857.56,2018-04-21,Closed,356396.98,508,Yes,Yes,No,2020-01-01,Verified,RYF81SCAN9,843486927047,5VA0RU@bankmail.com,9003837176,Arjun Sharma,2022-09-03,5.37,139536.61,Active
ACC100050,Neha Singh,46,Female,Lucknow,RJ,Savings,649555.41,BR261,IFSC96598,TXN5760022,Credit,645.97,2024-10-11,Pending,109700.05,689,No,Yes,Yes,2021-06-11,Verified,VNEKELWK4J,151522360723,446R99@bankmail.com,7327229452,Vikas Jain,2018-02-06,8.85,126440.65,Active
ACC100051,Sneha Kumar,47,Male,Pune,UP,Savings,419770.58,BR525,IFSC31728,TXN5598356,Credit,26461.71,2023-09-12,Active,206460.42,703,Yes,No,No,2023-06-03,Pending,6EB3AG4KJJ,988988572339,N24F8D@bankmail.com,7496638348,Kavya Gupta,2024-08-10,6.24,146002.26,Active
ACC100052,Arjun Jain,74,Female,Pune,RJ,Savings,550473.97,BR247,IFSC28987,TXN1730746,Credit,33264.39,2020-09-28,Active,411260.6,658,No,Yes,No,2021-04-30,Verified,JRZCDNPDCJ,761328630415,IWA9KD@bankmail.com,8889906302,Rahul Patel,2022-09-07,6.4,33848.39,Active
ACC100053,Amit Gupta,48,Male,Mumbai,MP,Current,847267.06,BR763,IFSC64559,TXN7037713,Credit,5725.08,2021-05-04,Closed,355857.45,727,Yes,Yes,Yes,2021-04-01,Verified,MHT9ME7E03,390537792608,F2CI4U@bankmail.com,8822627967,Arjun Singh,2019-11-18,6.96,82552.07,Inactive
ACC100054,Rahul Gupta,39,Male,Pune,RJ,Current,554527.55,BR569,IFSC20903,TXN9296479,Credit,43107.47,2025-08-22,Active,471918.9,711,No,Yes,No,2019-02-18,Verified,P5EZ18650D,519365853347,1MXW2V@bankmail.com,9612493772,Rahul Patel,2024-02-21,3.37,38823.73,Inactive
ACC100055,Vikas Verma,60,Female,Lucknow,MH,Current,367190.36,BR854,IFSC81543,TXN5804923,Debit,49542.1,2018-03-23,Pending,386745.87,550,No,Yes,No,2019-12-17,Verified,79ECSUUX5Q,348342077135,YV1QJV@bankmail.com,8360703704,Rohit Sharma,2024-03-08,2.54,163425.01,Active
ACC100056,Rohit Patel,56,Female,Bhopal,MH,Current,199253.68,BR876,IFSC42984,TXN4101602,Credit,11258.47,2022-06-14,Active,233698.02,371,Yes,Yes,No,2018-11-02,Verified,L3G2849OU1,798961267382,RXFYH8@bankmail.com,9792942425,Anjali Verma,2019-03-28,3.95,137445.4,Active
ACC100057,Vikas Singh,35,Female,Bhopal,UP,Savings,979149.48,BR631,IFSC31084,TXN5791715,Debit,42384.08,2019-11-07,Closed,128998.53,519,Yes,Yes,Yes,2022-07-17,Verified,53F8JVAFFK,688738278458,CFJ6T6@bankmail.com,6167684166,Rohit Gupta,2018-02-14,3.08,58596.31,Inactive
ACC100058,Rohit Singh,20,Female,Indore,DL,Current,972004.42,BR877,IFSC74166,TXN2519920,Credit,15853.0,2026-02-26,Pending,441230.38,851,No,No,Yes,2024-11-30,Verified,FFTVMR2NAC,804422879244,ZVBC01@bankmail.com,6986783197,Rahul Singh,2020-02-01,3.65,180169.82,Inactive
ACC100059,Vikas Jain,59,Male,Lucknow,MP,Current,248673.71,BR553,IFSC82255,TXN7560996,Credit,20631.14,2020-01-05,Pending,125129.28,320,Yes,No,Yes,2025-04-15,Verified,FDJ4KIYP2D,716722217380,4ZQTXU@bankmail.com,8013032345,Priya Jain,2025-10-16,2.67,124868.98,Active
ACC100060,Rohit Patel,63,Female,Bhopal,RJ,Savings,572121.05,BR425,IFSC83624,TXN9472578,Debit,4059.73,2019-11-06,Pending,268048.56,622,Yes,No,Yes,2023-03-18,Verified,7RQJW4UPWD,781157889335,360R8B@bankmail.com,7293738660,Amit Verma,2021-05-07,2.26,14621.83,Active
ACC100061,Priya Jain,25,Male,Mumbai,DL,Current,566660.68,BR475,IFSC27442,TXN8049702,Credit,12368.13,2023-07-31,Closed,258860.8,802,No,Yes,No,2022-07-28,Verified,VC7QR06LBS,371230927951,CQZ1ZW@bankmail.com,6591122327,Anjali Jain,2023-08-06,8.82,25584.32,Inactive
ACC100062,Sneha Kumar,23,Male,Pune,DL,Current,51309.61,BR401,IFSC10417,TXN2457710,Credit,45922.82,2023-07-17,Active,262949.9,356,No,Yes,No,2025-04-07,Verified,OS4LBRUOGH,776282892225,7JK8RK@bankmail.com,7148934826,Kavya Sharma,2020-03-23,5.47,35275.15,Active
ACC100063,Vikas Patel,20,Male,Mumbai,MP,Savings,65278.1,BR477,IFSC17547,TXN3650447,Credit,21208.71,2018-04-01,Active,388913.1,574,Yes,No,No,2020-07-23,Pending,Z8GGXWNSA9,488321376039,F1XJXC@bankmail.com,9527008512,Vikas Jain,2021-02-21,8.42,127880.08,Inactive
ACC100064,Anjali Gupta,70,Male,Indore,DL,Current,470527.88,BR722,IFSC71324,TXN7401462,Credit,30538.92,2024-04-28,Closed,461953.92,724,Yes,Yes,Yes,2021-10-15,Pending,8Y9DESWGLA,181563867428,TAJK6E@bankmail.com,8101799634,Sneha Singh,2022-06-19,2.8,127896.56,Inactive
ACC100065,Vikas Sharma,25,Male,Lucknow,UP,Current,645446.08,BR866,IFSC77734,TXN9717043,Debit,21258.23,2018-06-14,Active,355525.73,359,No,Yes,No,2018-12-30,Verified,DW8SXR7K3U,758574628501,PEQSEX@bankmail.com,8846202395,Sneha Verma,2025-12-26,4.61,146200.48,Inactive
ACC100066,Priya Jain,52,Male,Lucknow,MP,Current,258512.56,BR804,IFSC89899,TXN5368557,Debit,23214.65,2020-04-20,Active,285633.85,353,No,No,No,2023-03-14,Pending,1HFJACIC2C,733548645996,666Q4P@bankmail.com,6531891950,Rahul Kumar,2023-07-04,5.91,30618.81,Inactive
ACC100067,Sneha Gupta,59,Male,Pune,UP,Current,301459.22,BR493,IFSC62847,TXN6396186,Credit,28216.27,2018-01-02,Pending,465598.76,724,No,Yes,Yes,2020-09-04,Pending,R3SU8H42KH,946051119817,YK453O@bankmail.com,6510002706,Rohit Patel,2023-04-19,7.48,197900.45,Active
ACC100068,Kavya Patel,47,Male,Lucknow,MH,Current,609992.8,BR817,IFSC91975,TXN7115775,Debit,4691.48,2026-01-15,Pending,82403.55,575,No,No,Yes,2024-08-06,Verified,WR0Y42QO4Z,427654074558,HXNLFM@bankmail.com,6436448963,Kavya Singh,2019-01-22,2.75,12552.29,Inactive
ACC100069,Rohit Jain,64,Female,Lucknow,MP,Current,897786.72,BR591,IFSC57503,TXN9711848,Credit,29589.35,2024-03-11,Active,51956.93,352,No,No,Yes,2023-03-05,Verified,D9HZEBYLS6,257405354694,MMPAB0@bankmail.com,9489985397,Rahul Sharma,2021-02-14,5.59,118572.66,Active
ACC100070,Sneha Sharma,30,Female,Delhi,DL,Current,696806.01,BR717,IFSC96282,TXN7912947,Credit,14243.84,2024-05-05,Pending,388390.03,577,No,Yes,No,2019-01-15,Verified,2AKZ3SZ8SD,589690950811,JLKIHL@bankmail.com,9056765536,Amit Jain,2019-11-26,6.3,119634.1,Active
ACC100071,Kavya Verma,73,Male,Indore,DL,Savings,94804.74,BR600,IFSC76692,TXN3991289,Credit,7038.41,2020-05-07,Active,87720.69,636,Yes,Yes,No,2024-10-06,Pending,5MMAKYVMBD,477015868881,0PV4PR@bankmail.com,8076185668,Vikas Patel,2025-07-04,7.55,199726.57,Active
ACC100072,Anjali Verma,73,Male,Bhopal,MP,Savings,351271.49,BR740,IFSC67217,TXN6022984,Debit,40945.55,2020-06-30,Pending,456375.88,819,No,No,Yes,2018-12-09,Pending,79W29427NB,449063440590,O1SMFH@bankmail.com,6688829347,Amit Verma,2025-11-14,5.05,95026.34,Active
ACC100073,Anjali Verma,23,Male,Lucknow,MH,Current,613649.58,BR802,IFSC25573,TXN1598927,Credit,8464.18,2022-04-28,Closed,111037.03,400,Yes,No,Yes,2020-06-27,Verified,20ZQ7INOT5,800830008557,KCNOAN@bankmail.com,9900682818,Anjali Kumar,2026-03-15,2.39,122089.04,Inactive
ACC100074,Priya Jain,24,Female,Jaipur,UP,Savings,993885.74,BR732,IFSC53117,TXN3622029,Debit,38050.43,2019-03-11,Pending,136704.48,723,Yes,No,No,2021-03-01,Pending,Y3UVOXIEYY,720399642400,4CPX73@bankmail.com,9182727611,Rahul Jain,2023-10-05,2.28,26108.71,Active
ACC100075,Neha Patel,58,Male,Pune,DL,Current,567328.57,BR421,IFSC17975,TXN1511793,Debit,39641.25,2022-08-19,Active,182816.23,521,No,Yes,No,2024-03-19,Verified,U90BR6482Z,547742610994,H9XSEO@bankmail.com,6107228306,Rohit Verma,2023-03-23,6.29,16026.75,Inactive
ACC100076,Anjali Singh,75,Female,Lucknow,RJ,Savings,904165.44,BR202,IFSC34574,TXN3062442,Debit,27492.03,2024-03-27,Active,432567.22,432,Yes,No,No,2018-10-29,Pending,F6PSHPNT21,393553860953,0546NZ@bankmail.com,9561753495,Vikas Singh,2025-07-17,7.11,172081.19,Active
ACC100077,Arjun Singh,31,Female,Bhopal,DL,Current,909481.21,BR527,IFSC21916,TXN7436854,Credit,34644.51,2023-12-28,Closed,51644.81,851,No,No,No,2020-09-30,Verified,3UJ0ZWLVO1,621772427084,1KABGY@bankmail.com,8333291000,Priya Kumar,2023-06-12,3.78,98996.28,Inactive
ACC100078,Priya Kumar,55,Male,Mumbai,UP,Current,48842.01,BR307,IFSC39028,TXN6952519,Credit,12044.76,2022-11-30,Active,234804.8,780,No,No,Yes,2021-08-01,Pending,AIE5AJXBYI,407959788384,C9QRHP@bankmail.com,7377365525,Sneha Kumar,2025-08-21,6.97,90626.48,Active
ACC100079,Sneha Kumar,72,Female,Pune,UP,Current,362828.12,BR285,IFSC68240,TXN3215999,Debit,3639.83,2022-07-31,Active,444451.64,393,Yes,No,No,2023-02-26,Pending,8F5K1KI6DR,844961209471,HWWWWI@bankmail.com,6812881409,Rohit Sharma,2024-08-09,3.86,63888.22,Inactive
ACC100080,Rohit Patel,24,Male,Mumbai,RJ,Current,611684.69,BR972,IFSC51081,TXN3183515,Debit,19559.59,2020-11-30,Active,185481.54,768,Yes,Yes,Yes,2023-06-20,Pending,C67DG1PZF0,850439949811,88WQTA@bankmail.com,6822601053,Sneha Kumar,2025-12-24,6.15,108753.7,Inactive
ACC100081,Arjun Jain,44,Female,Bhopal,MH,Savings,552226.36,BR598,IFSC10306,TXN3812125,Credit,8660.07,2021-10-17,Pending,229320.56,730,Yes,Yes,Yes,2019-10-09,Pending,IQ955MU0MU,637652071264,LWUV99@bankmail.com,9727071523,Neha Verma,2021-11-30,6.5,120229.79,Active
ACC100082,Arjun Patel,39,Female,Pune,UP,Current,450074.42,BR768,IFSC12249,TXN6727293,Credit,36281.79,2024-11-30,Pending,431888.0,344,Yes,Yes,Yes,2020-05-11,Pending,W4QBD9CWFX,592431790517,EFN0GT@bankmail.com,7065350358,Vikas Jain,2021-08-25,8.29,133267.8,Active
